Contrast,Expected,correct,first_sound,second_sound,third_sound,fourth_sound,response,response_time,total_correct,experiment_file,subject_nr,Participant,Block,test_sp,Condition,Dialect
16,q,1,AM1_ντίμη,TF1_δήμη,CM3_ντίμη,CF2_ντίμη,q,419,38,3all_Perc.osexp,1,FF01,2,0,3,0
6,m,1,CF2_θάβει,AM1_θάβει,TF1_χάβει,CM3_θάβει,m,89,39,3all_Perc.osexp,1,FF01,2,0,3,0
12,m,1,CF2_γάμα,TF1_γάμα,CM3_δάμα,AM1_γάμα,m,214,40,3all_Perc.osexp,1,FF01,2,0,3,0
14,m,1,CM3_χήνα,CF2_χήνα,TF1_χήνα,AM1_κίνα,m,442,41,3all_Perc.osexp,1,FF01,2,0,3,0
10,q,1,CM3_γέλα,AM1_γάλα,CF2_γέλα,TF1_γέλα,q,71,42,3all_Perc.osexp,1,FF01,2,0,3,0
9,q,0,AM1_ντι,CM3_γκι,CF2_γκι,TF1_γκι,m,356,42,3all_Perc.osexp,1,FF01,2,0,3,0
3,m,1,CF2_κέντα,AM1_κέντα,CM3_τέντα,TF1_κέντα,m,547,43,3all_Perc.osexp,1,FF01,2,0,3,0
1,m,1,CF2_κάπου,TF1_κάπου,AM1_κήπου,CM3_κάπου,m,297,44,3all_Perc.osexp,1,FF01,2,0,3,0
7,m,1,CM3_γκάλα,TF1_γκάλα,CF2_γκάλα,AM1_ντάλα,m,337,45,3all_Perc.osexp,1,FF01,2,0,3,0
2,q,1,AM1_τάπες,TF1_κάπες,CF2_κάπες,CM3_κάπες,q,153,46,3all_Perc.osexp,1,FF01,2,0,3,0
18,q,1,CF2_γάτα,TF1_γκάτα,AM1_γάτα,CM3_γάτα,q,207,47,3all_Perc.osexp,1,FF01,2,0,3,0
16,m,0,AM1_ντύσει,CF2_ντύσει,TF1_ντύσει,CM3_δύσει,q,210,47,3all_Perc.osexp,1,FF01,2,0,3,0
8,q,1,CM3_γκύζη,AM1_γκάζι,CF2_γκάζι,TF1_γκάζι,q,153,48,3all_Perc.osexp,1,FF01,2,0,3,0
5,q,0,TF1_χάνει,CF2_χύνει,AM1_χύνει,CM3_χύνει,None,3000,48,3all_Perc.osexp,1,FF01,2,0,3,0
18,m,1,AM1_γάμα,TF1_γάμα,CF2_γάμα,CM3_γκάμα,m,270,49,3all_Perc.osexp,1,FF01,2,0,3,0
2,m,1,TF1_κάπας,AM1_κάπας,CM3_τάπας,CF2_κάπας,m,138,50,3all_Perc.osexp,1,FF01,2,0,3,0
15,q,1,AM1_κάνω,TF1_χάνω,CM3_χάνω,CF2_χάνω,q,428,51,3all_Perc.osexp,1,FF01,2,0,3,0
5,q,1,CM3_χώμα,TF1_χύμα,AM1_χώμα,CF2_χώμα,q,295,52,3all_Perc.osexp,1,FF01,2,0,3,0
7,q,1,AM1_ντάμα,CM3_γκάμα,TF1_ντάμα,CF2_ντάμα,q,314,53,3all_Perc.osexp,1,FF01,2,0,3,0
13,m,1,CF2_τάμα,CM3_τάμα,AM1_θάμα,TF1_τάμα,m,53,54,3all_Perc.osexp,1,FF01,2,0,3,0
3,m,1,AM1_τι,CF2_τι,TF1_τι,CM3_κι,m,391,55,3all_Perc.osexp,1,FF01,2,0,3,0
4,q,1,TF1_χύμα,AM1_θύμα,CM3_θύμα,CF2_θύμα,q,213,56,3all_Perc.osexp,1,FF01,2,0,3,0
6,m,1,CM3_χάβω,AM1_χάβω,TF1_χάβω,CF2_θάβω,m,344,57,3all_Perc.osexp,1,FF01,2,0,3,0
1,m,1,TF1_κήπο,AM1_κήπο,CF2_κήπο,CM3_κόπο,m,432,58,3all_Perc.osexp,1,FF01,2,0,3,0
11,q,1,TF1_γένει,AM1_δένει,CF2_γένει,CM3_γένει,q,359,59,3all_Perc.osexp,1,FF01,2,0,3,0
9,q,1,TF1_ντέφι,CF2_γκέφι,CM3_ντέφι,AM1_ντέφι,q,476,60,3all_Perc.osexp,1,FF01,2,0,3,0
10,q,1,CM3_γόνος,AM1_γένος,TF1_γόνος,CF2_γόνος,q,388,61,3all_Perc.osexp,1,FF01,2,0,3,0
17,m,0,CM3_γκέννες,TF1_γκέννες,CF2_γκέννες,AM1_γέννες,q,457,61,3all_Perc.osexp,1,FF01,2,0,3,0
13,q,1,AM1_θέλει,CM3_τέλη,TF1_θέλει,CF2_θέλει,q,382,62,3all_Perc.osexp,1,FF01,2,0,3,0
4,m,1,CM3_θύτης,CF2_θύτης,AM1_θύτης,TF1_χύτης,m,550,63,3all_Perc.osexp,1,FF01,2,0,3,0
17,m,1,CF2_γκέλα,CM3_γκέλα,TF1_γέλα,AM1_γκέλα,m,526,64,3all_Perc.osexp,1,FF01,2,0,3,0
11,q,1,CF2_δίδα,AM1_γίδα,TF1_γίδα,CM3_γίδα,q,476,65,3all_Perc.osexp,1,FF01,2,0,3,0
16,m,1,CF1_ντύσει,AF2_ντύσει,TM2_ντύσει,AM2_δύσει,m,454,66,3all_Perc.osexp,1,FF01,3,0,3,0
2,q,1,AF2_τάπες,AM2_κάπες,TM2_κάπες,CF1_κάπες,q,122,67,3all_Perc.osexp,1,FF01,3,0,3,0
10,q,1,CF1_γέλα,AM2_γάλα,AF2_γέλα,TM2_γέλα,q,272,68,3all_Perc.osexp,1,FF01,3,0,3,0
13,m,1,AF2_τάμα,AM2_τάμα,TM2_θάμα,CF1_τάμα,m,304,69,3all_Perc.osexp,1,FF01,3,0,3,0
10,q,1,TM2_γόνος,AF2_γένος,AM2_γόνος,CF1_γόνος,q,439,70,3all_Perc.osexp,1,FF01,3,0,3,0
4,q,1,AM2_χύμα,TM2_θύμα,CF1_θύμα,AF2_θύμα,q,397,71,3all_Perc.osexp,1,FF01,3,0,3,0
16,q,1,AF2_ντίμη,TM2_δήμη,AM2_ντίμη,CF1_ντίμη,q,244,72,3all_Perc.osexp,1,FF01,3,0,3,0
13,q,1,AM2_θέλει,CF1_τέλη,AF2_θέλει,TM2_θέλει,q,323,73,3all_Perc.osexp,1,FF01,3,0,3,0
14,m,0,AM2_χήνα,CF1_χήνα,TM2_χήνα,AF2_κίνα,q,568,73,3all_Perc.osexp,1,FF01,3,0,3,0
5,q,1,CF1_χάνει,TM2_χύνει,AM2_χύνει,AF2_χύνει,q,341,74,3all_Perc.osexp,1,FF01,3,0,3,0
12,q,1,AM2_δούλα,CF1_γούλα,TM2_γούλα,AF2_γούλα,q,402,75,3all_Perc.osexp,1,FF01,3,0,3,0
1,m,1,AM2_κάπου,AF2_κάπου,CF1_κήπου,TM2_κάπου,m,305,76,3all_Perc.osexp,1,FF01,3,0,3,0
17,m,1,AM2_γκέννες,TM2_γκέννες,AF2_γκέννες,CF1_γέννες,m,580,77,3all_Perc.osexp,1,FF01,3,0,3,0
11,q,1,TM2_δίδα,AM2_γίδα,CF1_γίδα,AF2_γίδα,q,464,78,3all_Perc.osexp,1,FF01,3,0,3,0
6,m,1,CF1_χάβω,AM2_χάβω,TM2_χάβω,AF2_θάβω,m,551,79,3all_Perc.osexp,1,FF01,3,0,3,0
4,m,0,CF1_θύτης,AF2_θύτης,AM2_θύτης,TM2_χύτης,q,243,79,3all_Perc.osexp,1,FF01,3,0,3,0
9,q,1,TM2_ντι,CF1_γκι,AF2_γκι,AM2_γκι,q,372,80,3all_Perc.osexp,1,FF01,3,0,3,0
3,m,1,TM2_κέντα,AM2_κέντα,AF2_τέντα,CF1_κέντα,m,813,81,3all_Perc.osexp,1,FF01,3,0,3,0
12,m,0,TM2_γάμα,AM2_γάμα,CF1_δάμα,AF2_γάμα,q,425,81,3all_Perc.osexp,1,FF01,3,0,3,0
3,m,0,AF2_τι,TM2_τι,CF1_τι,AM2_κι,q,628,81,3all_Perc.osexp,1,FF01,3,0,3,0
2,m,1,AM2_κάπας,AF2_κάπας,TM2_τάπας,CF1_κάπας,m,685,82,3all_Perc.osexp,1,FF01,3,0,3,0
7,q,1,TM2_ντάμα,CF1_γκάμα,AM2_ντάμα,AF2_ντάμα,q,944,83,3all_Perc.osexp,1,FF01,3,0,3,0
7,m,0,TM2_γκάλα,AF2_γκάλα,AM2_γκάλα,CF1_ντάλα,q,979,83,3all_Perc.osexp,1,FF01,3,0,3,0
1,m,1,AF2_κήπο,CF1_κήπο,AM2_κήπο,TM2_κόπο,m,683,84,3all_Perc.osexp,1,FF01,3,0,3,0
8,m,1,AM2_γκέμι,TM2_γκέμι,CF1_γκόμι,AF2_γκέμι,m,497,85,3all_Perc.osexp,1,FF01,3,0,3,0
18,q,1,TM2_γάτα,CF1_γκάτα,AM2_γάτα,AF2_γάτα,q,468,86,3all_Perc.osexp,1,FF01,3,0,3,0
17,m,1,AM2_γκέλα,AF2_γκέλα,TM2_γέλα,CF1_γκέλα,m,395,87,3all_Perc.osexp,1,FF01,3,0,3,0
6,m,1,AF2_θάβει,AM2_θάβει,CF1_χάβει,TM2_θάβει,m,398,88,3all_Perc.osexp,1,FF01,3,0,3,0
5,q,1,AF2_χώμα,CF1_χύμα,TM2_χώμα,AM2_χώμα,q,281,89,3all_Perc.osexp,1,FF01,3,0,3,0
8,q,1,CF1_γκύζη,AM2_γκάζι,AF2_γκάζι,TM2_γκάζι,q,197,90,3all_Perc.osexp,1,FF01,3,0,3,0
11,q,1,AF2_γένει,CF1_δένει,TM2_γένει,AM2_γένει,q,322,91,3all_Perc.osexp,1,FF01,3,0,3,0
15,m,1,TM2_κώμα,CF1_κώμα,AF2_χώμα,AM2_κώμα,m,442,92,3all_Perc.osexp,1,FF01,3,0,3,0
9,q,1,AF2_ντέφι,TM2_γκέφι,CF1_ντέφι,AM2_ντέφι,q,329,93,3all_Perc.osexp,1,FF01,3,0,3,0
14,q,1,TM2_κύμα,AM2_χύμα,AF2_χύμα,CF1_χύμα,q,452,94,3all_Perc.osexp,1,FF01,3,0,3,0
18,m,1,CF1_γάμα,TM2_γάμα,AF2_γάμα,AM2_γκάμα,m,744,95,3all_Perc.osexp,1,FF01,3,0,3,0
15,q,1,AF2_κάνω,TM2_χάνω,AM2_χάνω,CF1_χάνω,q,343,96,3all_Perc.osexp,1,FF01,3,0,3,0
19,q,1,TF4_μύχια,TF4_νύχια,TF4_μύχια,TF4_μύχια,q,401,97,3all_Perc.osexp,1,FF01,4,1,3,0
19,q,1,TF4_φράση,TF4_βράση,TF4_βράση,TF4_βράση,q,200,98,3all_Perc.osexp,1,FF01,4,1,3,0
21,m,1,CF2_νότες,TF1_νότες,CM3_νότες,AM1_δότες,m,275,99,3all_Perc.osexp,1,FF01,4,0,3,0
3,q,1,AF1_τύπος,TF2_κήπος,TM1_κήπος,CM6_κήπος,q,342,100,3all_Perc.osexp,1,FF01,4,0,3,0
21,q,1,AF2_θα,AM2_να,TM2_θα,CF1_θα,q,342,101,3all_Perc.osexp,1,FF01,4,0,3,0
6,q,1,AF1_θάψει,TF2_χάψει,CM6_χάψει,TM1_χάψει,q,278,102,3all_Perc.osexp,1,FF01,4,0,3,0
4,m,1,TF4_χέσει,TF4_χέσει,TF4_χέσει,TF4_θέσει,m,293,103,3all_Perc.osexp,1,FF01,4,1,3,0
21,m,0,AM2_δόλο,AF2_δόλο,CF1_σόλο,TM2_δόλο,q,200,103,3all_Perc.osexp,1,FF01,4,0,3,0
13,m,1,CM6_τίμα,AF1_τίμα,TF2_θύμα,TM1_τίμα,m,217,104,3all_Perc.osexp,1,FF01,4,0,3,0
19,m,0,TF4_μάρκες,TF4_μάρκες,TF4_νάρκες,TF4_μάρκες,q,245,104,3all_Perc.osexp,1,FF01,4,1,3,0
20,q,1,AM1_δέμα,CF2_θέμα,TF1_δέμα,CM3_δέμα,q,363,105,3all_Perc.osexp,1,FF01,4,0,3,0
19,m,1,TF4_ζώσει,TF4_ζώσει,TF4_ζώσει,TF4_σώσει,m,209,106,3all_Perc.osexp,1,FF01,4,1,3,0
20,m,1,TF4_γέλια,TF4_γέλια,TF4_γέλια,TF4_χέλια,m,153,107,3all_Perc.osexp,1,FF01,4,1,3,0
9,m,1,TF4_ντύνει,TF4_ντύνει,TF4_γκύνει,TF4_ντύνει,m,244,108,3all_Perc.osexp,1,FF01,4,1,3,0
19,q,1,AM1_σώµα,CF2_ζώµα,CM3_ζώµα,TF1_ζώµα,q,245,109,3all_Perc.osexp,1,FF01,4,0,3,0
14,m,1,TF4_χι,TF4_χι,TF4_κι,TF4_χι,m,259,110,3all_Perc.osexp,1,FF01,4,1,3,0
19,m,1,TF4_ζούπα,TF4_ζούπα,TF4_σούπα,TF4_ζούπα,m,119,111,3all_Perc.osexp,1,FF01,4,1,3,0
18,q,1,TF4_γκόνο,TF4_γόνο,TF4_γόνο,TF4_γόνο,q,222,112,3all_Perc.osexp,1,FF01,4,1,3,0
21,m,1,AM2_νόμο,AF2_νόμο,TM2_δόμο,CF1_νόμο,m,160,113,3all_Perc.osexp,1,FF01,4,0,3,0
21,m,1,CF1_δώσει,AM2_δώσει,AF2_δώσει,TM2_ζώσει,m,226,114,3all_Perc.osexp,1,FF01,4,0,3,0
19,m,1,TF4_ζάλο,TF4_ζάλο,TF4_ζάλο,TF4_σάλο,m,159,115,3all_Perc.osexp,1,FF01,4,1,3,0
17,q,1,TF1_γύζη,CF2_γκύζη,CM3_γκύζη,AM1_γκύζη,q,243,116,3all_Perc.osexp,1,FF01,4,0,3,0
12,m,1,TM1_γάτα,TF2_γάτα,AF1_γάτα,CM6_δάτα,m,282,117,3all_Perc.osexp,1,FF01,4,0,3,0
20,q,1,TF4_θύτης,TF4_δύτης,TF4_δύτης,TF4_δύτης,q,330,118,3all_Perc.osexp,1,FF01,4,1,3,0
19,q,1,AF2_μου,AM2_νου,CF1_μου,TM2_μου,q,561,119,3all_Perc.osexp,1,FF01,4,0,3,0
20,m,1,TF4_δόλο,TF4_δόλο,TF4_δόλο,TF4_θόλο,m,740,120,3all_Perc.osexp,1,FF01,4,1,3,0
19,q,1,TF4_ζούλα,TF4_σούλα,TF4_ζούλα,TF4_ζούλα,q,174,121,3all_Perc.osexp,1,FF01,4,1,3,0
19,q,1,TF4_φάσεις,TF4_βάσεις,TF4_βάσεις,TF4_βάσεις,q,224,122,3all_Perc.osexp,1,FF01,4,1,3,0
20,m,1,TF4_γάρου,TF4_γάρου,TF4_γάρου,TF4_χάρου,m,237,123,3all_Perc.osexp,1,FF01,4,1,3,0
2,m,1,TM1_τόπων,TF2_τόπων,CM6_κόπων,AF1_τόπων,m,0,124,3all_Perc.osexp,1,FF01,4,0,3,0
19,q,1,CM3_βάρος,TF1_φάρος,CF2_βάρος,AM1_βάρος,q,144,125,3all_Perc.osexp,1,FF01,4,0,3,0
21,q,1,AF2_δίκη,CF1_νίκη,AM2_νίκη,TM2_νίκη,q,625,126,3all_Perc.osexp,1,FF01,4,0,3,0
15,q,1,TF4_χάνατε,TF4_κάνατε,TF4_χάνατε,TF4_χάνατε,q,116,127,3all_Perc.osexp,1,FF01,4,1,3,0
11,m,0,TF2_γίναμε,TM1_γίναμε,AF1_γίναμε,CM6_δίναμε,q,516,127,3all_Perc.osexp,1,FF01,4,0,3,0
16,q,1,TF4_ντίσκο,TF4_δίσκο,TF4_ντίσκο,TF4_ντίσκο,q,282,128,3all_Perc.osexp,1,FF01,4,1,3,0
20,q,0,AM1_χήρας,TF1_γήρας,CM3_γήρας,CF2_γήρας,m,320,128,3all_Perc.osexp,1,FF01,4,0,3,0
NA,q,1,AF1_τάμα,AF1_ντάμα,AF1_τάμα,AF1_τάμα,q,383,1,1a_Perc.osexp,2,FF02,0,0,1,1
NA,m,1,AF1_θάμα,AF1_θάμα,AF1_δάμα,AF1_θάμα,m,797,2,1a_Perc.osexp,2,FF02,0,0,1,1
NA,q,1,AF1_τίμα,AF1_χύμα,AF1_τίμα,AF1_τίμα,q,760,3,1a_Perc.osexp,2,FF02,0,0,1,1
NA,q,1,AF1_γάμα,AF1_τάμα,AF1_τάμα,AF1_τάμα,q,1644,4,1a_Perc.osexp,2,FF02,0,0,1,1
NA,m,1,AF1_κι,AF1_κι,AF1_κι,AF1_γκι,m,471,5,1a_Perc.osexp,2,FF02,0,0,1,1
NA,m,1,AF1_τι,AF1_τι,AF1_τι,AF1_ντι,m,413,6,1a_Perc.osexp,2,FF02,0,0,1,1
9,q,1,AF1_ντέφι,AF1_γκέφι,AF1_ντέφι,AF1_ντέφι,q,666,7,1a_Perc.osexp,2,FF02,1,0,1,1
15,q,1,AF1_κάνω,AF1_χάνω,AF1_χάνω,AF1_χάνω,q,427,8,1a_Perc.osexp,2,FF02,1,0,1,1
8,q,1,AF1_γκύζη,AF1_γκάζι,AF1_γκάζι,AF1_γκάζι,q,843,9,1a_Perc.osexp,2,FF02,1,0,1,1
4,m,1,AF1_θύτης,AF1_θύτης,AF1_θύτης,AF1_χύτης,m,651,10,1a_Perc.osexp,2,FF02,1,0,1,1
15,m,1,AF1_κώμα,AF1_κώμα,AF1_χώμα,AF1_κώμα,m,552,11,1a_Perc.osexp,2,FF02,1,0,1,1
1,m,1,AF1_κάπου,AF1_κάπου,AF1_κήπου,AF1_κάπου,m,548,12,1a_Perc.osexp,2,FF02,1,0,1,1
16,m,1,AF1_ντύσει,AF1_ντύσει,AF1_ντύσει,AF1_δύσει,m,1035,13,1a_Perc.osexp,2,FF02,1,0,1,1
7,q,1,AF1_ντάμα,AF1_γκάμα,AF1_ντάμα,AF1_ντάμα,q,302,14,1a_Perc.osexp,2,FF02,1,0,1,1
7,m,1,AF1_γκάλα,AF1_γκάλα,AF1_γκάλα,AF1_ντάλα,m,402,15,1a_Perc.osexp,2,FF02,1,0,1,1
13,q,1,AF1_θέλει,AF1_τέλη,AF1_θέλει,AF1_θέλει,q,605,16,1a_Perc.osexp,2,FF02,1,0,1,1
10,q,1,AF1_γέλα,AF1_γάλα,AF1_γέλα,AF1_γέλα,q,364,17,1a_Perc.osexp,2,FF02,1,0,1,1
5,q,1,AF1_χώμα,AF1_χύμα,AF1_χώμα,AF1_χώμα,q,614,18,1a_Perc.osexp,2,FF02,1,0,1,1
6,m,1,AF1_θάβει,AF1_θάβει,AF1_χάβει,AF1_θάβει,m,465,19,1a_Perc.osexp,2,FF02,1,0,1,1
13,m,1,AF1_τάμα,AF1_τάμα,AF1_θάμα,AF1_τάμα,m,391,20,1a_Perc.osexp,2,FF02,1,0,1,1
4,q,1,AF1_χύμα,AF1_θύμα,AF1_θύμα,AF1_θύμα,q,576,21,1a_Perc.osexp,2,FF02,1,0,1,1
3,m,1,AF1_κέντα,AF1_κέντα,AF1_τέντα,AF1_κέντα,m,270,22,1a_Perc.osexp,2,FF02,1,0,1,1
6,m,1,AF1_χάβω,AF1_χάβω,AF1_χάβω,AF1_θάβω,m,634,23,1a_Perc.osexp,2,FF02,1,0,1,1
18,q,1,AF1_γάτα,AF1_γκάτα,AF1_γάτα,AF1_γάτα,q,261,24,1a_Perc.osexp,2,FF02,1,0,1,1
17,m,1,AF1_γκέλα,AF1_γκέλα,AF1_γέλα,AF1_γκέλα,m,499,25,1a_Perc.osexp,2,FF02,1,0,1,1
2,m,1,AF1_κάπας,AF1_κάπας,AF1_τάπας,AF1_κάπας,m,383,26,1a_Perc.osexp,2,FF02,1,0,1,1
3,m,1,AF1_τι,AF1_τι,AF1_τι,AF1_κι,m,1423,27,1a_Perc.osexp,2,FF02,1,0,1,1
16,q,1,AF1_ντίμη,AF1_δήμη,AF1_ντίμη,AF1_ντίμη,q,670,28,1a_Perc.osexp,2,FF02,1,0,1,1
18,m,1,AF1_γάμα,AF1_γάμα,AF1_γάμα,AF1_γκάμα,m,1021,29,1a_Perc.osexp,2,FF02,1,0,1,1
17,m,1,AF1_γκέννες,AF1_γκέννες,AF1_γκέννες,AF1_γέννες,m,438,30,1a_Perc.osexp,2,FF02,1,0,1,1
9,q,1,AF1_ντι,AF1_γκι,AF1_γκι,AF1_γκι,q,1094,31,1a_Perc.osexp,2,FF02,1,0,1,1
1,m,1,AF1_κήπο,AF1_κήπο,AF1_κήπο,AF1_κόπο,m,915,32,1a_Perc.osexp,2,FF02,1,0,1,1
12,m,1,AF1_γάμα,AF1_γάμα,AF1_δάμα,AF1_γάμα,m,543,33,1a_Perc.osexp,2,FF02,1,0,1,1
14,m,1,AF1_χήνα,AF1_χήνα,AF1_χήνα,AF1_κίνα,m,635,34,1a_Perc.osexp,2,FF02,1,0,1,1
8,m,1,AF1_γκέμι,AF1_γκέμι,AF1_γκόμι,AF1_γκέμι,m,505,35,1a_Perc.osexp,2,FF02,1,0,1,1
14,q,1,AF1_κύμα,AF1_χύμα,AF1_χύμα,AF1_χύμα,q,410,36,1a_Perc.osexp,2,FF02,1,0,1,1
12,q,1,AF1_δούλα,AF1_γούλα,AF1_γούλα,AF1_γούλα,q,1436,37,1a_Perc.osexp,2,FF02,1,0,1,1
2,q,1,AF1_τάπες,AF1_κάπες,AF1_κάπες,AF1_κάπες,q,878,38,1a_Perc.osexp,2,FF02,1,0,1,1
